Phage,Taxonomy
accession,kingdom
AB002632,Viruses
AB008550,Viruses
AB009866,Viruses
AB012573,Viruses
AB012574,Viruses
AB043678,Viruses
AB043679,Viruses
AB044554,Viruses
AB063393,Viruses
AB102868,Viruses
AB255436,Viruses
AB285204,Viruses
AB362338,Viruses
AB370205,Viruses
AB370268,Viruses
AB426868,Viruses
AB451219,Viruses
AB560486,Viruses
AB572858,Viruses
AB597179,Viruses
AB609718,Viruses
AB626962,Viruses
AB626963,Viruses
AB647160,Viruses
AB711120,Viruses
AB712291,Viruses
AB720063,Viruses
AB720064,Viruses
AB731695,Viruses
AB828698,Viruses
AB830321,Viruses
AB854109,Viruses
AB863625,Viruses
AB903967,Viruses
AB910393,Viruses
AB931172,Viruses
AB937974,Viruses
AB971354,Viruses
AB981169,Viruses
AB981170,Viruses
AE002163,Viruses
AF063097,Viruses
AF065411,Viruses
AF074945,Viruses
AF125163,Viruses
AF165214,Viruses
AF176027,Viruses
AF176028,Viruses
AF176029,Viruses
AF176030,Viruses
AF176031,Viruses
AF176032,Viruses
AF176033,Viruses
AF189021,Viruses
AF195902,Viruses
AF222060,Viruses
AF232233,Viruses
AF242738,Viruses
AF246223,Viruses
AF306496,Viruses
AF323668,Viruses
AF323669,Viruses
AF323670,Viruses
AF323671,Viruses
AF323672,Viruses
AF323673,Viruses
AF334111,Viruses
AF335538,Viruses
AF338467,Viruses
AF396866,Viruses
AF424781,Viruses
AF424782,Viruses
AF424783,Viruses
AF448724,Viruses
AF452449,Viruses
AF453500,Viruses
AF493143,Viruses
AF527608,Viruses
AF547987,Viruses
AJ131519,Viruses
AJ242593,Viruses
AJ251789,Viruses
AJ251805,Viruses
AJ278322,Viruses
AJ298298,Viruses
AJ312240,Viruses
AJ344259,Viruses
AJ414696,Viruses
AJ536073,Viruses
AJ550635,Viruses
AJ556162,Viruses
AJ560763,Viruses
AJ564013,Viruses
AJ567472,Viruses
AJ609634,Viruses
AJ630128,Viruses
AJ697969,Viruses
AJ748296,Viruses
AJ783769,Viruses
AJ842011,Viruses
AJ854042,Viruses
AJ972879,Viruses
AM040673,Viruses
AM156909,Viruses
AM183667,Viruses
AM265638,Viruses
AM265639,Viruses
AM491472,Viruses
AM749441,Viruses
AM910650,Viruses
AM910651,Viruses
AP000363,Viruses
AP001553,Viruses
AP005153,Viruses
AP005154,Viruses
AP008953,Viruses
AP008954,Viruses
AP008983,Viruses
AP009146,Viruses
AP009363,Viruses
AP009390,Viruses
AP009624,Viruses
AP011616,Viruses
AP011617,Viruses
AP013029,Viruses
AP013057,Viruses
AY007505,Viruses
AY055382,Viruses
AY082070,Viruses
AY095314,Viruses
AY150271,Viruses
AY212251,Viruses
AY266303,Viruses
AY320035,Viruses
AY374414,Viruses
AY375531,Viruses
AY388628,Viruses
AY394005,Viruses
AY453853,Viruses
AY510084,Viruses
AY569307,Viruses
AY605066,Viruses
AY699705,Viruses
AY730274,Viruses
AY739900,Viruses
AY769964,Viruses
AY772740,Viruses
AY939844,Viruses
AY940168,Viruses
AY950802,Viruses
AY954948,Viruses
AY962392,Viruses
BK000583,Viruses
CP000315,Viruses
CP000622,Viruses
CP000623,Viruses
CP000624,Viruses
CP000625,Viruses
CP000917,Viruses
CP002495,Viruses
CP002889,Viruses
CP003186,Viruses
CP004084,Viruses
CP008753,Viruses
CU468217,Viruses
DQ003637,Viruses
DQ003638,Viruses
DQ003639,Viruses
DQ003640,Viruses
DQ003641,Viruses
DQ003642,Viruses
DQ113772,Viruses
DQ114220,Viruses
DQ123818,Viruses
DQ126339,Viruses
DQ150593,Viruses
DQ221100,Viruses
DQ222851,Viruses
DQ222853,Viruses
DQ222855,Viruses
DQ289555,Viruses
DQ289556,Viruses
DQ320509,Viruses
DQ340064,Viruses
DQ372923,Viruses
DQ394806,Viruses
DQ394807,Viruses
DQ394808,Viruses
DQ394809,Viruses
DQ426904,Viruses
DQ426905,Viruses
DQ453159,Viruses
DQ490056,Viruses
DQ517338,Viruses
DQ674738,Viruses
DQ777876,Viruses
DQ785801,Viruses
DQ832317,Viruses
DQ838728,Viruses
DQ840344,Viruses
DQ873690,Viruses
EF056009,Viruses
EF057797,Viruses
EF071488,Viruses
EF116926,Viruses
EF207558,Viruses
EF372997,Viruses
EF380009,Viruses
EF380010,Viruses
EF380011,Viruses
EF380012,Viruses
EF380013,Viruses
EF380014,Viruses
EF380015,Viruses
EF380016,Viruses
EF380017,Viruses
EF380018,Viruses
EF380019,Viruses
EF380020,Viruses
EF380021,Viruses
EF380022,Viruses
EF380023,Viruses
EF380024,Viruses
EF380025,Viruses
EF380026,Viruses
EF380027,Viruses
EF380028,Viruses
EF380029,Viruses
EF380030,Viruses
EF380031,Viruses
EF380032,Viruses
