Phage,Taxonomy,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Host,Taxonomy.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Non-host,Taxonomy.2,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
accession,kingdom,phylum,class,order,family,genus,accession,kingdom,phylum,class,order,family,genus,accession,kingdom,phylum,class,order,family,genus
AB002632,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Saetivirus,GCF_000237705,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,CP001403,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
AB008550,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Citexvirus,GCF_000629305,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCF_000387965,Archaea,Nanoarchaeota,,Nanoarchaeales,Nanopusillaceae,Candidatus Nanobsidianus
AB009866,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,GCF_000640195,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,CP003929,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus
AB012573,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Villovirus,GCF_000491395,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,CP002921,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
AB012574,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Villovirus,GCF_000491075,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCF_000336975,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
AB043678,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Versovirus,GCF_000878735,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCF_000296615,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
AB043679,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,,GCF_000491035,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,CP001014,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
AB044554,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,GCF_000636215,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,CM002879,Eukaryota,Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus
AB063393,Viruses,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,Gammasphaerolipovirus,AE017221,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,CP005290,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
AB102868,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Lederbergvirus,CP007290,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,CP000300,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
AB255436,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Traversvirus,GCF_000163215,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,CP003412,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema
AB285204,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,GCF_000488055,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,CP002529,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
AB362338,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Lederbergvirus,GCF_000329565,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,CP009149,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
AB370205,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,GCF_000554985,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,CP000660,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
AB370268,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,GCF_000507705,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,CP002372,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
AB426868,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Lederbergvirus,GCF_000603545,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,CP001719,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
AB451219,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Higashivirus,GCF_000825885,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,CP001463,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
AB560486,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pbunavirus,GCF_000795765,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BA000011,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
AB572858,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Fibrovirus,GCF_000279345,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCF_000337035,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
AB597179,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Kelmasvirus,GCF_000750585,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,GCF_000245115,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
AB609718,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kochikohdavirus,GCF_000391225,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,GCF_000336715,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus
AB626962,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,GCF_000594585,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,CP006670,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
AB626963,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,GCF_000558285,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,CP003321,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus
AB647160,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Schmidvirus,GCF_000591395,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,GCF_000336715,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus
AB711120,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Saundersvirus,GCF_000830605,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,CP000102,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
AB712291,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Saphexavirus,GCF_000393155,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,CP000609,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
AB720063,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Klementvirus,CP006857,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,CP003929,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus
AB720064,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,GCF_000741885,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,CP000743,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
