噬菌体ID,预测置信度,匹配宿主ID,相似度,宿主置信度
NC_021190,1.0,GCA_001904725,4,0.9999865293502808
NC_021190,1.0,GCA_001908375,4,0.9998775720596313
NC_021190,1.0,GCA_001605745,3,0.9992260932922363
NC_027118,1.0,GCA_001180325,4,1.0
NC_027118,1.0,GCA_001886915,3,0.9728925228118896
NC_027118,1.0,GCA_001582025,3,0.9486203193664551
NC_027119,1.0,GCA_001591525,3,0.9999890327453613
NC_027119,1.0,GCA_000194845,3,0.9998563528060913
NC_027119,1.0,GCA_001180325,3,1.0
NC_027120,1.0,GCA_001605745,3,0.9992260932922363
NC_027120,1.0,GCA_000208765,3,0.9942042231559753
NC_027120,1.0,GCA_000203995,3,0.9998563528060913
NC_027125,1.0,GCA_000252875,3,0.9050883650779724
NC_027125,1.0,GCA_001753225,3,0.999859094619751
NC_027125,1.0,GCA_001457595,3,0.9486204385757446
NC_027204,1.0,GCA_002092565,3,0.9728925228118896
NC_027204,1.0,GCA_002076875,3,0.9228240251541138
NC_027204,1.0,GCA_002063615,3,0.9050880670547485
NC_027292,1.0,GCA_002911955,3,0.9999890327453613
NC_027292,1.0,GCA_002993285,3,0.9988412261009216
NC_027292,1.0,GCA_002025525,3,0.9989734888076782
NC_027293,1.0,GCA_002911955,3,0.9999890327453613
NC_027293,1.0,GCA_002993285,3,0.9988412261009216
NC_027293,1.0,GCA_000735125,2,0.9989965558052063
NC_027294,1.0,GCA_002147835,3,0.9999890327453613
NC_027294,1.0,GCA_002147055,3,0.9999890327453613
NC_027294,1.0,GCA_002911955,3,0.9999890327453613
NC_027295,1.0,GCA_002259955,3,0.9997116923332214
NC_027295,1.0,GCA_002911955,3,0.9999890327453613
NC_027295,1.0,GCA_002993285,3,0.9988412261009216
NC_027296,1.0,GCA_002063615,3,0.9050880670547485
NC_027296,1.0,GCA_002265965,3,0.9050880670547485
NC_027296,1.0,GCA_000967115,3,0.9999291896820068
NC_027297,1.0,GCA_002877935,3,0.9995455145835876
NC_027297,1.0,GCA_002076875,3,0.9228240251541138
